TREE NAME,METHOD NAME,DATASET TYPE,DATASET SIZE,AVERAGE,STD DEV,STR COUNT,REPEAT AMT,FIXED STR LEN,MIN STR LEN,MAX STR LEN
LLRB_TREE,insertElement,range_sorted,3,2.9533364189167816e-05,1.8079662773168806e-06,3,10,,11,50
LLRB_TREE,insertElement,range_sorted,4,3.1849980587139726e-05,4.2098002019402465e-06,4,10,,15,48
LLRB_TREE,insertElement,range_sorted,5,3.1320005655288695e-05,1.2432310879364847e-06,5,10,,17,42
LLRB_TREE,insertElement,range_sorted,6,2.7899999016275007e-05,3.2275137036320914e-06,6,10,,14,47
LLRB_TREE,insertElement,range_sorted,7,2.612857081528221e-05,1.1347963856488641e-06,7,10,,16,50
LLRB_TREE,insertElement,range_sorted,8,2.8049980755895376e-05,4.032980345802961e-06,8,10,,10,47
LLRB_TREE,insertElement,range_sorted,9,2.733330863217513e-05,1.4352809382946674e-06,9,10,,10,47
LLRB_TREE,insertElement,range_nearly_sorted,0,0,0.0,0,10,0,,
LLRB_TREE,insertElement,range_nearly_sorted,1,2.8399983420968056e-05,0.0,1,10,11,,
LLRB_TREE,insertElement,range_nearly_sorted,2,2.6999972760677338e-05,2.00001522898674e-07,2,10,,21,25
LLRB_TREE,insertElement,range_nearly_sorted,3,2.6400045802195866e-05,2.4055126103068206e-06,3,10,,31,44
LLRB_TREE,insertElement,range_nearly_sorted,4,2.8199981898069382e-05,1.2247541972032922e-06,4,10,,23,35
LLRB_TREE,insertElement,range_nearly_sorted,5,2.6780017651617528e-05,2.603368611942784e-06,5,10,,19,47
LLRB_TREE,insertElement,range_nearly_sorted,6,3.11333181646963e-05,4.0851954978038575e-06,6,10,,12,45
LLRB_TREE,insertElement,range_nearly_sorted,7,1.7042837238737514e-05,5.336617178924986e-06,7,10,,16,49
LLRB_TREE,insertElement,range_nearly_sorted,8,1.5025012544356287e-05,1.0532625810074264e-06,8,10,,10,36
LLRB_TREE,insertElement,range_nearly_sorted,9,1.4788898018499216e-05,1.3900074521944014e-06,9,10,,11,48
SCAPEGOAT_TREE,insertElement,set_random,0,0,0.0,0,10,0,,
SCAPEGOAT_TREE,insertElement,set_random,1,3.790005575865507e-05,0.0,1,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,2,2.3600005079060793e-05,2.3999600671231747e-06,2,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,3,3.823331401993831e-05,6.897448451743084e-06,3,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,4,3.657498746179044e-05,7.725700116329438e-06,4,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,5,3.3159973099827766e-05,5.199834342460056e-06,5,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,6,3.8750042828420796e-05,7.282319176106153e-06,6,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,7,3.632856532931328e-05,3.985939103181323e-06,7,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,8,3.3625008654780686e-05,9.963542967305878e-06,8,10,10,,
SCAPEGOAT_TREE,insertElement,set_random,9,3.5766654440926184e-05,9.021222444120016e-06,9,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,0,0,0.0,0,10,0,,
SCAPEGOAT_TREE,insertElement,set_sorted,1,3.9100064896047115e-05,0.0,1,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,2,3.835005918517709e-05,1.9500148482620716e-06,2,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,3,3.783334977924824e-05,6.007996544151624e-06,3,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,4,3.895003465004265e-05,6.177578239591307e-06,4,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,5,3.068000078201294e-05,4.982496388864452e-06,5,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,6,3.558329384153088e-05,7.314922272964752e-06,6,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,7,6.908574141561985e-05,4.143657345652607e-05,7,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,8,4.063751839566976e-05,2.5440706251080386e-06,8,10,10,,
SCAPEGOAT_TREE,insertElement,set_sorted,9,4.2711125893725286e-05,1.2208395260766858e-05,9,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,0,0,0.0,0,10,0,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,1,4.2599975131452084e-05,0.0,1,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,2,2.8900045435875654e-05,1.0200019460171461e-05,2,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,3,4.94333216920495e-05,1.5541684949150443e-06,3,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,4,4.52000240329653e-05,3.115261908716414e-06,4,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,5,4.094003234058619e-05,1.3572256614467732e-05,5,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,6,4.1783302246282496e-05,6.300103073651543e-06,6,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,7,5.511430624340262e-05,1.398930557784243e-05,7,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,8,0.00013942499936092645,1.4860003075811714e-05,8,10,10,,
SCAPEGOAT_TREE,insertElement,set_nearly_sorted,9,0.00013043331758429608,3.936029681983852e-05,9,10,10,,
SCAPEGOAT_TREE,insertElement,range_random,0,0,0.0,0,10,0,,
SCAPEGOAT_TREE,insertElement,range_random,1,9.34000127017498e-05,0.0,1,10,21,,
SCAPEGOAT_TREE,insertElement,range_random,2,0.0001520999358035624,2.870004391297698e-05,2,10,,12,14
SCAPEGOAT_TREE,insertElement,range_random,3,0.00016709999181330204,6.861959886256902e-05,3,10,,26,38
SCAPEGOAT_TREE,insertElement,range_random,4,0.00014160003047436476,2.2860765649867124e-05,4,10,,30,44
SCAPEGOAT_TREE,insertElement,range_random,5,0.00015873995143920184,2.572813436286032e-05,5,10,,10,33
SCAPEGOAT_TREE,insertElement,range_random,6,0.0001374332932755351,1.6988381402453644e-05,6,10,,13,36
SCAPEGOAT_TREE,insertElement,range_random,7,0.00019665714353322983,6.434175066873983e-05,7,10,,14,48
SCAPEGOAT_TREE,insertElement,range_random,8,0.00015891251678112894,2.957626717771651e-05,8,10,,14,42
SCAPEGOAT_TREE,insertElement,range_random,9,0.00013441112565083636,2.1188114843018573e-05,9,10,,10,48
SCAPEGOAT_TREE,insertElement,range_sorted,0,0,0.0,0,10,0,,
SCAPEGOAT_TREE,insertElement,range_sorted,1,0.00019259995315223932,0.0,1,10,46,,
SCAPEGOAT_TREE,insertElement,range_sorted,2,0.00010199996177107096,7.400056347250938e-06,2,10,,38,49
SCAPEGOAT_TREE,insertElement,range_sorted,3,0.00017483326761672893,5.3020258279066724e-05,3,10,,11,50
SCAPEGOAT_TREE,insertElement,range_sorted,4,0.0001501500082667917,1.8325728690711885e-05,4,10,,15,48
SCAPEGOAT_TREE,insertElement,range_sorted,5,9.721999522298575e-05,4.956111750460389e-05,5,10,,17,42
SCAPEGOAT_TREE,insertElement,range_sorted,6,4.238330681497852e-05,4.322197819884417e-06,6,10,,14,47
SCAPEGOAT_TREE,insertElement,range_sorted,7,4.5428551467401644e-05,4.066138133136495e-06,7,10,,16,50
SCAPEGOAT_TREE,insertElement,range_sorted,8,4.848749085795134e-05,5.832944700098492e-06,8,10,,10,47
SCAPEGOAT_TREE,insertElement,range_sorted,9,5.11222363760074e-05,8.505118546060532e-06,9,10,,10,47
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,0,0,0.0,0,10,0,,
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,1,4.880002234131098e-05,0.0,1,10,11,,
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,2,4.9250025767832994e-05,3.6500277929008007e-06,2,10,,21,25
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,3,6.38333149254322e-05,6.63845006988595e-06,3,10,,31,44
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,4,5.67499955650419e-05,6.4623933438651834e-06,4,10,,23,35
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,5,6.496002897620201e-05,9.896962936837575e-06,5,10,,19,47
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,6,8.361666308095057e-05,2.015254362443683e-05,6,10,,12,45
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,7,8.511430184756006e-05,3.23385207757669e-05,7,10,,16,49
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,8,7.501250365749002e-05,2.2310820547289046e-05,8,10,,10,36
SCAPEGOAT_TREE,insertElement,range_nearly_sorted,9,7.981108501553535e-05,1.1810946365465973e-05,9,10,,11,48
TWO_THREE_TREE,searchElement,set_random,0,0,0.0,0,10,0,,
TWO_THREE_TREE,searchElement,set_random,1,2.4000066332519054e-05,0.0,1,10,10,,
TWO_THREE_TREE,searchElement,set_random,2,2.6150024496018887e-05,1.049949787557125e-06,2,10,10,,
TWO_THREE_TREE,searchElement,set_random,3,2.0833297943075497e-05,1.068501139854264e-05,3,10,10,,
TWO_THREE_TREE,searchElement,set_random,4,1.9850063836202025e-05,4.225206188192268e-06,4,10,10,,
TWO_THREE_TREE,searchElement,set_random,5,2.4759978987276555e-05,2.0194826826612697e-06,5,10,10,,
TWO_THREE_TREE,searchElement,set_random,6,2.3533337904761236e-05,3.7169189603429866e-06,6,10,10,,
TWO_THREE_TREE,searchElement,set_random,7,2.381431737116405e-05,2.7194945105953945e-06,7,10,10,,
TWO_THREE_TREE,searchElement,set_random,8,2.1162486518733203e-05,3.0610274334907877e-06,8,10,10,,
TWO_THREE_TREE,searchElement,set_random,9,2.211109838551945e-05,3.3912912566992283e-06,9,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,searchElement,set_sorted,1,2.629996743053198e-05,0.0,1,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,2,2.0600040443241596e-05,0.0,2,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,3,2.4833328401048977e-05,2.28818950458717e-06,3,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,4,2.139998832717538e-05,1.903939431534071e-06,4,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,5,2.0320015028119088e-05,1.692835237207656e-06,5,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,6,2.0483314680556457e-05,2.4381560961403015e-06,6,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,7,2.1871428803673814e-05,2.450466688145376e-06,7,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,8,2.0024963305331767e-05,1.820526989788979e-06,8,10,10,,
TWO_THREE_TREE,searchElement,set_sorted,9,1.7877784557640553e-05,2.014271788527016e-06,9,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,1,2.0499923266470432e-05,0.0,1,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,2,1.9650033209472895e-05,1.1500087566673756e-06,2,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,3,2.0266626961529255e-05,3.147810136487863e-06,3,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,4,1.8674996681511402e-05,1.6902365492393042e-06,4,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,5,1.758001744747162e-05,2.2990607853292465e-06,5,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,6,1.6166673352320988e-05,1.342478926592542e-06,6,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,7,1.6928567284984248e-05,2.5375643431095015e-06,7,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,8,1.7312486306764185e-05,2.072121150203456e-06,8,10,10,,
TWO_THREE_TREE,searchElement,set_nearly_sorted,9,1.70111112917463e-05,3.0748009010415787e-06,9,10,10,,
TWO_THREE_TREE,searchElement,range_random,0,0,0.0,0,10,0,,
TWO_THREE_TREE,searchElement,range_random,1,1.4199991710484028e-05,0.0,1,10,21,,
TWO_THREE_TREE,searchElement,range_random,2,1.479999627918005e-05,6.00004568696022e-07,2,10,,12,14
TWO_THREE_TREE,searchElement,range_random,3,1.550000160932541e-05,3.5590531841912e-07,3,10,,26,38
TWO_THREE_TREE,searchElement,range_random,4,1.592500484548509e-05,8.92685350862784e-07,4,10,,30,44
TWO_THREE_TREE,searchElement,range_random,5,1.596000511199236e-05,1.4907829637572897e-06,5,10,,10,33
TWO_THREE_TREE,searchElement,range_random,6,1.513333215067784e-05,1.496303106000892e-06,6,10,,13,36
TWO_THREE_TREE,searchElement,range_random,7,1.4471405717943395e-05,1.5498268801404218e-06,7,10,,14,48
TWO_THREE_TREE,searchElement,range_random,8,1.4687495422549546e-05,1.651811446802696e-06,8,10,,14,42
TWO_THREE_TREE,searchElement,range_random,9,1.4311116602685717e-05,2.3704125987839285e-06,9,10,,10,48
TWO_THREE_TREE,searchElement,range_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,searchElement,range_sorted,1,1.170008908957243e-05,0.0,1,10,46,,
TWO_THREE_TREE,searchElement,range_sorted,2,1.2299977242946625e-05,6.00004568696022e-07,2,10,,38,49
TWO_THREE_TREE,searchElement,range_sorted,3,1.3266651270290216e-05,1.111563930633927e-06,3,10,,11,50
TWO_THREE_TREE,searchElement,range_sorted,4,1.3625016435980797e-05,1.9498362999333892e-06,4,10,,15,48
TWO_THREE_TREE,searchElement,range_sorted,5,1.4519994147121907e-05,1.7092818647540386e-06,5,10,,17,42
TWO_THREE_TREE,searchElement,range_sorted,6,1.2966668388495842e-05,8.319827246393774e-07,6,10,,14,47
TWO_THREE_TREE,searchElement,range_sorted,7,1.2757140211760998e-05,1.1133592867499506e-06,7,10,,16,50
TWO_THREE_TREE,searchElement,range_sorted,8,1.3875003787688911e-05,1.7984393900969342e-06,8,10,,10,47
TWO_THREE_TREE,searchElement,range_sorted,9,1.3355553771058718e-05,1.7159995830798138e-06,9,10,,10,47
TWO_THREE_TREE,searchElement,range_nearly_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,searchElement,range_nearly_sorted,1,1.1899974197149277e-05,0.0,1,10,11,,
TWO_THREE_TREE,searchElement,range_nearly_sorted,2,1.2349977623671293e-05,8.500064723193645e-07,2,10,,21,25
TWO_THREE_TREE,searchElement,range_nearly_sorted,3,1.2566684745252132e-05,1.3597641123157107e-06,3,10,,31,44
TWO_THREE_TREE,searchElement,range_nearly_sorted,4,1.2874981621280313e-05,1.4201780575264395e-06,4,10,,23,35
TWO_THREE_TREE,searchElement,range_nearly_sorted,5,1.2099999003112316e-05,9.879629271870655e-07,5,10,,19,47
TWO_THREE_TREE,searchElement,range_nearly_sorted,6,1.2783333659172058e-05,1.769561520027765e-06,6,10,,12,45
TWO_THREE_TREE,searchElement,range_nearly_sorted,7,1.1399970389902592e-05,1.1071282455849315e-06,7,10,,16,49
TWO_THREE_TREE,searchElement,range_nearly_sorted,8,1.2137534213252366e-05,1.355457673477199e-06,8,10,,10,36
TWO_THREE_TREE,searchElement,range_nearly_sorted,9,1.2566658875180616e-05,1.3106495391775532e-06,9,10,,11,48
LLRB_TREE,searchElement,set_random,0,0,0.0,0,10,0,,
LLRB_TREE,searchElement,set_random,1,9.400071576237679e-06,0.0,1,10,10,,
LLRB_TREE,searchElement,set_random,2,5.849986337125301e-06,8.499482646584511e-07,2,10,10,,
LLRB_TREE,searchElement,set_random,3,2.900022082030773e-06,3.741685877599306e-07,3,10,10,,
LLRB_TREE,searchElement,set_random,4,7.049966370686889e-06,3.886844267709605e-06,4,10,10,,
LLRB_TREE,searchElement,set_random,5,5.140015855431557e-06,1.146506764770311e-06,5,10,10,,
LLRB_TREE,searchElement,set_random,6,4.699958177904288e-06,1.2922721181748909e-06,6,10,10,,
LLRB_TREE,searchElement,set_random,7,8.399997438703264e-06,4.483262302778437e-06,7,10,10,,
LLRB_TREE,searchElement,set_random,8,6.699992809444666e-06,1.566018874599417e-06,8,10,10,,
LLRB_TREE,searchElement,set_random,9,6.866641342639923e-06,2.3823377881251177e-06,9,10,10,,
LLRB_TREE,searchElement,set_sorted,0,0,0.0,0,10,0,,
LLRB_TREE,searchElement,set_sorted,1,4.800036549568176e-06,0.0,1,10,10,,
LLRB_TREE,searchElement,set_sorted,2,6.6999346017837524e-06,2.200016751885414e-06,2,10,10,,
LLRB_TREE,searchElement,set_sorted,3,7.066642865538597e-06,1.7744813923752747e-06,3,10,10,,
LLRB_TREE,searchElement,set_sorted,4,7.750000804662704e-06,2.369071160654619e-06,4,10,10,,
